age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,OperatingSystems,Browser,Region,TrafficType,Weekend
56,technician,married,primary,no,63,yes,no,cellular,17,may,251,2,1,2,8,2,FALSE
21,admin.,married,tertiary,no,79,yes,no,telephone,7,may,260,4,1,1,2,3,TRUE
19,management,married,secondary,no,-288,yes,yes,cellular,16,mar,210,9,2,2,7,3,FALSE
84,unknown,married,tertiary,no,1279,no,no,unknown,6,aug,273,2,7,2,1,2,FALSE
35,blue-collar,married,primary,no,26,yes,no,cellular,21,jun,252,3,2,1,1,3,FALSE
26,unemployed,married,secondary,no,631,yes,no,unknown,3,nov,517,12,3,2,3,1,FALSE
41,admin.,married,secondary,yes,309,yes,no,cellular,19,aug,184,4,3,2,9,2,TRUE
27,blue-collar,married,tertiary,no,699,yes,no,cellular,20,jul,325,1,3,1,2,2,TRUE
46,blue-collar,married,tertiary,no,1074,yes,yes,cellular,18,feb,335,4,2,1,7,2,FALSE
31,management,married,tertiary,no,1754,yes,no,telephone,17,nov,120,1,3,2,1,3,FALSE
48,blue-collar,single,tertiary,no,0,yes,no,cellular,16,jul,772,1,2,2,3,15,FALSE
30,entrepreneur,married,primary,no,1037,no,yes,cellular,11,may,111,1,2,2,8,10,FALSE
55,housemaid,married,secondary,no,1573,yes,no,cellular,9,nov,317,4,2,2,1,2,FALSE
34,management,married,tertiary,no,618,yes,yes,cellular,8,aug,218,2,1,5,1,2,FALSE
45,management,single,primary,no,98,no,no,cellular,21,jan,189,4,4,1,1,1,FALSE
71,technician,single,secondary,yes,0,no,no,cellular,20,apr,100,1,3,2,1,6,FALSE
19,services,married,primary,no,0,yes,no,cellular,25,may,404,2,2,2,1,1,FALSE
55,blue-collar,married,secondary,no,-26,no,no,cellular,13,apr,167,1,3,2,4,1,TRUE
19,technician,single,secondary,no,-510,yes,no,cellular,5,apr,186,12,3,4,7,1,TRUE
24,management,married,secondary,no,-325,yes,no,unknown,13,feb,278,4,2,2,4,1,TRUE
57,retired,married,secondary,yes,940,yes,no,cellular,15,nov,142,4,1,1,4,2,FALSE
26,blue-collar,married,secondary,no,2670,yes,no,cellular,23,jun,95,3,1,1,3,13,FALSE
19,entrepreneur,married,primary,no,466,yes,no,cellular,30,may,101,3,2,2,4,4,FALSE
51,blue-collar,married,secondary,no,798,no,no,cellular,7,apr,131,3,2,2,1,1,FALSE
84,blue-collar,married,tertiary,no,2882,no,no,cellular,11,may,61,6,2,2,2,13,FALSE
84,technician,married,secondary,no,135,no,no,cellular,20,aug,16,3,3,6,7,1,FALSE
19,blue-collar,married,secondary,no,168,yes,no,cellular,20,feb,183,1,2,1,9,2,FALSE
84,housemaid,married,secondary,no,518,no,no,cellular,9,may,684,2,1,2,2,2,FALSE
71,services,single,secondary,no,178,yes,no,cellular,23,may,130,6,2,4,5,14,FALSE
41,management,single,primary,no,5590,yes,yes,cellular,21,feb,177,4,3,5,1,1,FALSE
27,technician,single,primary,no,352,no,no,cellular,9,aug,34,2,2,2,3,2,FALSE
29,management,married,primary,no,-147,yes,no,cellular,12,jul,90,2,1,2,3,1,FALSE
52,blue-collar,single,tertiary,no,1025,yes,no,cellular,21,may,156,5,2,1,3,2,FALSE
37,admin.,married,secondary,no,4308,yes,no,cellular,5,feb,130,1,2,2,1,1,FALSE
33,admin.,single,secondary,no,868,yes,no,cellular,27,may,1255,1,3,2,1,2,TRUE
36,technician,divorced,primary,no,324,yes,no,cellular,24,apr,213,4,1,2,2,13,FALSE
42,management,single,secondary,no,2469,yes,yes,cellular,12,aug,74,1,2,2,7,3,TRUE
51,blue-collar,single,tertiary,no,2593,yes,yes,cellular,11,feb,458,2,2,2,1,2,TRUE
76,blue-collar,single,tertiary,no,553,yes,no,cellular,16,jul,20,5,1,2,1,3,FALSE
71,blue-collar,married,secondary,no,0,no,no,cellular,12,may,34,3,1,1,4,11,FALSE
27,blue-collar,single,tertiary,no,697,yes,no,unknown,15,may,166,1,2,2,3,6,FALSE
27,retired,married,tertiary,no,572,no,no,cellular,31,may,1265,1,2,2,2,2,FALSE
25,services,married,secondary,no,370,no,no,cellular,17,may,122,2,2,4,3,8,FALSE
84,unemployed,single,secondary,no,554,no,no,cellular,25,feb,622,2,1,5,4,1,FALSE
29,admin.,married,tertiary,no,503,yes,no,cellular,30,apr,734,11,2,1,3,3,FALSE
36,services,married,tertiary,no,3441,no,no,cellular,8,aug,1439,9,1,2,1,4,FALSE
69,blue-collar,single,secondary,no,1928,no,no,cellular,8,jul,157,1,3,1,6,11,FALSE
54,technician,married,tertiary,no,11762,no,no,cellular,21,aug,72,2,1,2,3,2,FALSE
19,services,divorced,secondary,no,675,yes,yes,cellular,11,aug,197,2,2,2,1,6,FALSE
27,blue-collar,married,tertiary,no,2498,yes,yes,cellular,4,apr,536,1,1,1,1,1,TRUE
37,blue-collar,married,primary,no,4778,yes,no,cellular,21,may,75,1,3,5,1,8,FALSE
84,unknown,single,secondary,no,5037,yes,no,telephone,17,aug,137,3,2,2,2,1,FALSE
52,management,single,secondary,no,13353,yes,yes,cellular,30,may,505,3,2,2,2,2,FALSE
62,technician,divorced,primary,no,563,no,yes,cellular,22,aug,245,1,1,2,2,3,FALSE
51,retired,married,secondary,no,-349,yes,no,cellular,19,jul,26,2,1,2,3,6,FALSE
84,management,single,secondary,no,227,yes,no,cellular,18,jul,688,1,3,1,2,2,TRUE
32,technician,married,secondary,no,513,yes,no,cellular,5,jun,67,3,1,2,1,11,TRUE
63,management,married,secondary,yes,-145,no,no,cellular,25,nov,1597,6,2,1,4,1,TRUE
75,technician,married,tertiary,no,8067,no,yes,cellular,9,may,269,1,2,5,1,2,TRUE
42,blue-collar,single,tertiary,no,118,yes,no,unknown,5,jan,385,13,3,1,3,6,FALSE
84,blue-collar,married,secondary,no,1208,yes,no,cellular,11,jul,70,2,2,1,4,10,FALSE
55,admin.,married,primary,yes,579,yes,no,cellular,12,may,132,2,3,2,1,2,FALSE
43,management,married,secondary,no,45,yes,no,cellular,5,apr,55,5,1,2,1,4,FALSE
34,management,married,secondary,no,-2,no,no,cellular,4,may,4,2,1,2,1,6,FALSE
72,management,single,tertiary,no,3702,yes,yes,unknown,20,jul,242,9,2,2,6,10,FALSE
84,student,single,primary,no,3797,no,no,cellular,9,may,101,1,2,4,4,2,FALSE
56,admin.,married,tertiary,no,7704,no,no,cellular,28,jun,56,2,4,2,9,20,TRUE
19,admin.,married,secondary,no,583,yes,no,cellular,9,aug,194,3,2,2,3,3,TRUE
66,entrepreneur,married,primary,no,2510,yes,no,cellular,9,may,440,1,3,2,6,10,FALSE
30,management,single,unknown,no,0,no,no,cellular,25,jun,163,2,3,10,3,2,FALSE
72,technician,married,tertiary,no,506,no,no,unknown,20,jul,117,1,2,2,4,2,FALSE
27,blue-collar,single,secondary,no,5216,yes,no,unknown,13,may,102,2,2,1,1,11,FALSE
45,blue-collar,married,primary,no,2,no,no,cellular,17,jun,238,4,3,2,3,1,FALSE
44,technician,married,tertiary,no,24,yes,no,telephone,20,apr,136,3,1,2,1,2,FALSE
36,admin.,single,secondary,no,1,no,no,cellular,20,may,118,1,1,2,3,2,TRUE
41,self-employed,divorced,secondary,no,3986,yes,no,cellular,3,may,91,7,3,2,1,2,FALSE
19,admin.,married,secondary,no,566,no,no,cellular,29,aug,89,3,1,2,4,3,FALSE
25,housemaid,single,primary,no,502,no,no,cellular,8,jun,64,3,2,2,1,6,TRUE
84,retired,married,tertiary,no,585,yes,no,telephone,8,may,592,1,4,2,1,3,FALSE
49,blue-collar,single,tertiary,no,8976,yes,no,unknown,17,jun,66,1,2,5,4,2,FALSE
72,self-employed,married,secondary,no,1903,yes,no,cellular,13,jan,84,2,2,2,1,2,FALSE
40,management,married,secondary,no,21,no,no,cellular,14,aug,189,2,2,2,4,3,FALSE
50,management,single,secondary,no,104,yes,no,cellular,4,apr,134,2,2,2,1,11,FALSE
32,technician,single,secondary,no,441,no,no,cellular,6,jun,250,7,3,2,1,4,FALSE
19,unemployed,married,secondary,no,4201,no,yes,cellular,13,aug,280,9,1,2,1,13,FALSE
